Genus,Number of sequences
Absidia,1
Acantholichen,1
Acarospora,2
Acaulospora,2
Acaulosporaceae,1
Acidomyces,1
Acremonium,2
Actinomucor,1
Agaricaceae,2
Agaricales,21
Agaricomycetes,6
Agaricus,6
Ajellomyces,1
Allocetraria,1
Alphamyces,1
Amandinea,1
Amanita,10
Amauroderma,2
Amaurodon,1
Ambispora,1
Amphinema,4
Annulohypoxylon,2
Anthostomella,1
Anthracocystis,1
Apioplagiostoma,1
Arbusculina,1
Archaeorhizomyces,1
Archaeosporales,2
Armillaria,5
Arthrinium,3
Artomyces,1
Ascomycota,27
Aspergillus,8
Aspicilia,3
Asterostroma,1
Astraeus,1
Athelia,1
Atheliaceae,1
Auricularia,2
Auriculariales,1
Auritella,1
Auxarthron,1
Bagliettoa,1
Basidioascus,1
Basidiomycota,1
Baudoinia,1
Beauveria,3
Benjaminiella,1
Biatora,2
Biscogniauxia,1
Bisifusarium,1
Blastenia,1
Blastocladiella,1
Blastomyces,1
Bolbitius,1
Boletales,1
Boletus,2
Botryobasidium,1
Botryodiplodia,1
Botryosphaeria,1
Bradymyces,1
Brunneosphaerella,1
Bryoria,2
Buellia,1
Bullera,1
Byssoporia,1
Callistosporium,1
Caloplaca,3
Camarophyllopsis,1
Campanella,1
Campylospora,1
Candelaria,1
Candida,8
Cantharellales,7
Cantharellopsis,1
Capnodiales,3
Capronia,1
Carbonicola,1
Carestiella,1
Caryophylloseptoria,1
Catenulostroma,1
Cenococcum,1
Ceratobasidiaceae,3
Ceratobasidium,2
Ceratocystidaceae,1
Ceratocystis,2
Cercospora,1
Ceriporia,2
Chaenothecopsis,1
Chaetocalathus,1
Chaetomiaceae,1
Chaetosphaeronema,1
Chaetothyriales,5
Chlamydopus,1
Chlorencoelia,1
Chlorovibrissea,1
Chromocleista,1
Chroogomphus,2
Chrysomphalina,1
Chrysomyxa,1
Chytridiomycetes,1
Chytridiomycota,1
Cistella,1
Cladia,1
Cladochasiella,1
Cladonia,8
Cladophialophora,2
Cladosporium,2
Claroideoglomeraceae,1
Claroideoglomus,3
Claussenomyces,1
Clavariaceae,1
Clavariadelphus,1
Clavicipitaceae,1
Clavispora,1
Clavulina,4
Clavulinaceae,2
Clavulinopsis,1
Clitocybe,2
Clitopilus,1
Coccomyces,1
Colletotrichum,2
Collybia,1
Coniochaeta,2
Coniochaetaceae,3
Coniochaetales,2
Coniosporium,1
Conocybe,1
Coprinellus,1
Coprinopsis,1
Coprinus,2
Corticiaceae,1
Cortinariaceae,6
Cortinarius,48
Corynespora,1
Cosmospora,1
Crinipellis,1
Cronartium,1
Cryphonectriaceae,1
Cryptococcus,5
Cryptosporiopsis,2
Cunninghamella,2
Curvularia,2
Cyathus,1
Cyberlindnera,2
Cyphelium,2
Cyphellophora,1
Cystoderma,1
Cystofilobasidium,1
Dacrymycetaceae,2
Dactylina,1
Debaryomyces,2
Dendrographa,1
Dentipellis,1
Dermateaceae,1
Dermatocarpon,1
Dermocybe,1
Derxomyces,1
Descomyces,1
Devriesia,2
Diaporthaceae,2
Diaporthales,1
Diaporthe,7
Dietelia,1
Dinemasporium,2
Dioszegia,1
Dirina,1
Dirinaria,1
Disculoides,1
Diversispora,2
Dolabra,1
Dothidea,1
Dothideomycetes,10
Dothiorella,1
Dothistroma,1
Elaphomyces,3
Elaphomycetaceae,1
Endogonales,1
Endogone,1
Endophyllum,1
Entoloma,11
Eocronartium,1
Erysiphe,4
Eurotiomycetes,1
Eutypa,1
Eutypella,1
Evernia,1
Exobasidium,1
Exophiala,5
Exserohilum,1
Farysizyma,1
Fellomyces,1
Filobasidium,1
Filsoniana,1
Fistulinella,1
Flammulina,2
Flaviporus,1
Fomitopsis,2
Fonsecaea,1
Fulvifomes,1
Fungi,34
Funneliformis,2
Fusarium,1
Fuscoboletinus,1
Fuscopannaria,1
Fuscoporia,2
Gaeumannomyces,1
Ganoderma,5
Ganodermataceae,1
Gautieria,2
Geastrum,5
Geejayessia,1
Genea,3
Geoglossum,1
Geopora,2
Geosmithia,1
Gibberella,1
Gibbosporina,1
Gloiothele,1
Glomeraceae,18
Glomerales,1
Glomerella,1
Glomus,3
Gloniaceae,1
Graphostroma,1
Guignardia,2
Gyalolechia,1
Gymnomyces,1
Gymnopus,3
Gyoerffyella,1
Gyromitra,1
Haasiella,1
Halosphaeriaceae,1
Hanseniaspora,2
Hebeloma,3
Helotiaceae,2
Helotiales,15
Helvella,1
Hemileccinum,1
Henrica,1
Hermatomyces,1
Herpotrichiellaceae,3
Heterodermia,1
Hexagonia,1
Humaria,1
Humicola,1
Hyaloscypha,1
Hyaloscyphaceae,1
Hydnocristella,1
Hydnum,1
Hygrocybe,2
Hygrophoropsis,1
Hygrophorus,3
Hymenochaetaceae,1
Hymenochaete,1
Hymenopellis,1
Hymenoscyphus,2
Hyphodiscus,2
Hyphodontiella,1
Hypochnicium,1
Hypocrea,1
Hypocreales,6
Hypomyces,1
Hypotrachyna,1
Hypoxylon,2
Hypsizygus,1
Ilyonectria,2
Immersidiscosia,1
Inocybaceae,2
Inocybe,25
Inonotus,2
Isaria,1
Jahnoporus,1
Kalapuya,1
Kazachstania,2
Kluyveromyces,2
Kohlmeyeriopsis,1
Kuehneromyces,1
Kuraishia,1
Kurtzmanomyces,1
Laccaria,2
Lachancea,2
Lachnum,1
Lacrymaria,2
Lactarius,10
Lactifluus,6
Laetiporus,1
Lambertella,1
Lasiodiplodia,2
Lasiosphaeriaceae,1
Lasiosphaeris,2
Lecanicillium,1
Lecanora,3
Lecanorales,1
Lecidella,1
Lecythophora,1
Lentinellus,1
Leotiomycetes,2
Lepiota,2
Lepista,1
Lepraria,2
Leptogium,3
Leptosphaeria,2
Leptosphaerulina,1
Leucoagaricus,2
Leucopaxillus,1
Leveillula,2
Lobaria,1
Lobothallia,1
Lopadostoma,1
Lophiostoma,1
Lophodermium,2
Lycoperdon,1
Macrotyphula,1
Malassezia,1
Mallochia,1
Marasmiellus,1
Marasmius,5
Massarinaceae,1
Megacollybia,1
Megaloblastenia,1
Megasporia,1
Meira,1
Melampsora,2
Melanconidaceae,1
Melanconiella,1
Melanogaster,1
Melanohalea,2
Melanoleuca,2
Melanophyllum,1
Melanotaenium,1
Meliniomyces,1
Metapochonia,1
Metarhizium,2
Microbotryaceae,1
Microbotryomycetes,1
Microglossum,1
Microstromatales,1
Minutisphaera,1
Mitrula,1
Moelleriella,1
Monascus,1
Monilinia,1
Montagnulaceae,1
Morchella,2
Mortierella,4
Mortierellales,1
Mucor,6
Muscodor,1
Mycena,7
Mycenaceae,1
Mycosphaerella,1
Mycosphaerellaceae,2
Myochromella,1
Myrothecium,1
Nakataea,1
Nakazawaea,1
Nannizziopsis,1
Nectriaceae,2
Nemania,1
Nematoctonus,1
Neocatapyrenium,1
Neofavolus,1
Neofusicoccum,1
Nephroma,1
Ochrolechia,1
Octaviania,1
Oidiodendron,1
Onygenales,1
Ophiocordyceps,3
Ophiognomonia,4
Ophiostoma,3
Orbilia,2
Orbiliaceae,4
Orbiliales,1
Orbiliomycetes,2
Ostropales,1
Pachyphlodes,2
Panellus,2
Paracoccidioides,1
Paraconiothyrium,2
Paraglomerales,3
Paralepista,1
Paranannizziopsis,1
Paraphoma,1
Parasola,2
Parauncinula,1
Parmelia,1
Parmeliaceae,2
Parmotrema,1
Peltigera,6
Penicillium,8
Penidiella,1
Peniophora,1
Peniophorella,1
Perenniporia,1
Perenniporiella,1
Periconia,1
Pestalotiopsis,4
Petriella,1
Peziza,5
Pezizaceae,2
Pezizales,1
Phaeobotryon,1
Phaeocollybia,2
Phaeomycocentrospora,1
Phaeophleospora,1
Phaeophyscia,3
Phaeosphaeriaceae,1
Phellinopsis,1
Phellinus,3
Phellodon,1
Phialocephala,1
Phialophora,1
Phillipsia,1
Phlebia,1
Phomopsis,1
Phyllactinia,2
Phylloporus,1
Phyllosticta,5
Physcia,2
Pilidium,1
Pilobolus,1
Piloderma,1
Piptocephalis,1
Piromyces,1
Pisolithus,1
Plectosphaerella,1
Pleopsidium,1
Pleosporales,7
Pleurotus,1
Pluteus,3
Podaxis,1
Podoscypha,1
Podosphaera,1
Podospora,2
Polyblastia,2
Polycauliona,1
Polyozellus,1
Polyporaceae,4
Polyporales,5
Polyporus,2
Polyscytalum,1
Porostereum,1
Postia,1
Preussia,1
Protostropharia,1
Proxipyricularia,1
Psathyrella,5
Psathyrellaceae,1
Pseudaegerita,1
Pseudaleuria,1
Pseudapiospora,1
Pseudocercospora,5
Pseudochaete,2
Pseudocyphellaria,1
Pseudomassaria,1
Pseudorobillarda,1
Pseudotomentella,3
Puccinia,2
Pucciniastrum,2
Pulvinula,1
Punctelia,2
Pyrenochaeta,1
Pyrenopeziza,2
Pyronemataceae,5
Quambalaria,1
Radulodon,1
Raffaelea,1
Ramalina,2
Ramaria,2
Ramicandelaber,1
Ramichloridium,2
Ramularia,1
Rasamsonia,1
Remototrachyna,1
Rhinocladiella,1
Rhizocarpon,1
Rhizophagus,3
Rhizoplaca,2
