Genus,Number of sequences
Abortiporus,1
Abrothallus,3
Absconditella,1
Absidia,20
Abundisporus,3
Acantholichen,1
Acanthophysellum,1
Acanthostigma,2
Acaromyces,1
Acarospora,22
Acarosporaceae,2
Acaulospora,48
Acaulosporaceae,18
Acephala,3
Aciculosporium,1
Acicuseptoria,1
Acidea,1
Acidomelania,1
Acidomyces,2
Acremonium,49
Acrocalymma,1
Acrocordiella,1
Acrodictys,2
Acrodontium,1
Acrophialophora,1
Acrostalagmus,2
Actinomucor,2
Adisciso,3
Aecidium,3
Afroboletus,1
Agaricaceae,60
Agaricales,359
Agaricomycetes,132
Agaricostilbomycetes,1
Agaricostilbum,1
Agaricus,92
Agonimia,3
Agrocybe,8
Ahtiana,1
Ajellomyces,2
Ajellomycetaceae,1
Akanthomyces,1
Alanphillipsia,4
Alatospora,5
Albatrellaceae,4
Albatrellus,7
Albertiniella,1
Alboleptonia,2
Albomagister,4
Albotricha,5
Alectoria,1
Alessioporus,1
Aleuria,1
Aleurina,1
Aliquandostipite,1
Allocetraria,3
Alloclavaria,1
Alloconiothyrium,1
Allomyces,1
Allophoma,1
Alnicola,2
Alpakesa,1
Alphamyces,2
Alpova,2
Alternaria,34
Alternariaster,3
Alutaceodontia,1
Alysidiella,1
Amandinea,2
Amanita,210
Amanitaceae,5
Amauroascus,4
Amauroderma,13
Amaurodon,6
Ambarignomonia,1
Ambispora,17
Ambisporaceae,3
Ambrosiella,2
Amorphotheca,1
Ampelomyces,8
Amphinema,14
Amphiporthe,2
Amphisphaeriaceae,9
Amphobotrys,2
Ampulloclitocybe,1
Amundsenia,1
Amylocorticiales,1
Amylocorticiellum,1
Amylocorticium,2
Amylocystis,1
Amyloporia,5
Amylosporus,3
Amylostereum,5
Anaeromyces,8
Anamika,2
Anaptychia,12
Anguillospora,4
Angulomyces,1
Animalia,2
Annulohypoxylon,31
Anomalomyces,1
Anomoloma,4
Antarctomyces,1
Antherospora,6
Anthostoma,2
Anthostomella,2
Anthracocystis,10
Anthracoidea,1
Anthracophyllum,2
Antrodia,40
Antrodiella,6
Anzia,7
Aphanoascus,3
Aphanobasidium,2
Apiognomonia,2
Apioplagiostoma,1
Apiosordaria,1
Apiosporaceae,3
Apiosporina,1
Aplosporella,5
Apodospora,1
Apodus,1
Apoharknessia,1
Apophysomyces,4
Aporospora,2
Aporpium,2
Aquamyces,2
Aquanectria,2
Aquasubmersa,1
Arachnion,1
Arachnomyces,1
Arachnopeziza,5
Arbusculina,1
Arcangeliella,1
Archaeorhizomyces,68
Archaeorhizomycetales,1
Archaeorhizomycetes,2
Archaeospora,3
Archaeosporaceae,12
Archaeosporales,15
Arctocetraria,1
Arctoparmelia,1
Armillaria,29
Arnium,2
Arrhenia,7
Arthonia,1
Arthoniales,1
Arthopyrenia,1
Arthrinium,24
Arthrobotrys,19
Arthrocatena,1
Arthrocladiella,1
Arthroderma,18
Arthrodermataceae,4
Arthrographis,6
Arthromyces,1
Arthropsis,1
Articulospora,6
Artomyces,12
Asahinea,1
Aschersonia,4
Ascobolaceae,1
Ascobolus,6
Ascobotryozyma,1
Ascochyta,3
Ascocoryne,1
Ascomycota,471
Ascorhizoctonia,2
Ascosphaera,7
Ascotaiwania,1
Ascothailandia,1
Ascotricha,1
Aspergillus,139
Asperisporium,1
Asperopilum,1
Aspicilia,18
Asterodon,1
Asteromella,1
Asterophora,2
Asterostroma,7
Astraeus,13
Astrocystis,4
Astrosporina,1
Athallia,7
Athelia,10
Atheliaceae,28
Atheliales,12
Athelopsis,2
Atla,4
Atractiellales,5
Atractiellomycetes,1
Atractospora,1
Atractosporocybe,1
Aurantioporthe,1
Aurantiosacculus,1
Aurantiporus,1
Aurapex,1
Aureobasidium,13
Aureoboletus,6
Auricularia,21
Auriculariales,26
Auriculariopsis,1
Auriculibuller,1
Aurifilum,1
Auriporia,2
Auriscalpium,3
Auritella,4
Australiasca,2
Australovuilleminia,1
Austroafricana,1
Austroblastenia,1
Austroboletus,8
Austrogautieria,1
Austrolecia,2
Austroparmelina,1
Austropaxillus,4
Austroplaca,6
Austroroccella,1
Auxarthron,10
Avachytrium,2
Bacidia,6
Bacidina,2
Backusella,8
Bactrodesmiastrum,1
Baeomyces,1
Baeospora,2
Bagadiella,1
Bagliettoa,6
Balansia,3
Ballistosporomyces,1
Balsamia,4
Bambusaria,1
Bandoniozyma,5
Bankera,1
Bannoa,2
Barbatosphaeria,3
Barnettozyma,3
Barriopsis,3
Barssia,1
Bartalinia,1
Basidioascus,2
Basidiobolus,4
Basidiodendron,3
Basidiomycota,46
Batcheloromyces,2
Batistopsora,1
Batrachochytrium,11
Battarrea,5
Baudoinia,3
Beauveria,25
Bellemerea,1
Beltraniella,3
Benjaminiella,3
Bensingtonia,12
Berkleasmium,1
Biappendiculispora,1
Biatora,13
Biatoropsis,5
Bifusella,2
Bilimbia,2
Bionectria,2
Bionectriaceae,7
Bipolaris,18
Biscogniauxia,15
Bisifusarium,3
Bisporella,1
Bjerkandera,8
Blakeslea,2
Blastenia,2
Blastobotrys,9
Blastocladiella,2
Blastomyces,1
Blumeria,7
Boeremia,1
Bolbitiaceae,7
Bolbitius,7
Boletaceae,65
Boletales,29
Boletellus,2
Boletinellus,2
Boletinus,1
Boletopsis,5
Boletus,58
