samplename_barcode,input,filtered,denoisedF,denoisedR,merged,nonchim
S1_its,50668,28885,28662,28564,27695,27695
S10_its,26971,13293,13083,13038,12214,12214
S100_its,19379,11748,11559,11484,11121,11121
S101_its,33203,15654,15416,15304,13061,13041
S102_its,33268,19467,19251,19097,18467,18467
S103_its,31711,20252,19942,19738,19095,19095
S104_its,17593,10940,10689,10562,10142,10142
S105_its,19608,11810,11601,11540,11114,11114
S106_its,24578,13027,12664,12491,12189,12189
S107_its,42011,17267,17007,16826,16344,16344
S108_its,40949,22994,22681,22518,21825,21825
S109_its,36142,16983,16744,16596,16175,16175
S11_its,37072,24052,23806,23664,22893,22893
S110_its,63391,33263,32918,32587,30428,30428
S111_its,52969,26507,26205,25957,24745,24745
S112_its,12273,6500,6272,6095,5688,5688
S113_its,19242,9572,9327,9167,8931,8931
S114_its,48060,24212,23952,23777,23273,23273
S115_its,36395,21575,21375,21225,21078,21078
S116_its,11305,6252,6084,6026,5814,5814
S117_its,14456,9090,8924,8716,8163,8163
S118_its,10486,4680,4515,4355,4065,4065
S119_its,18902,8545,8393,8254,8088,8088
S12_its,21773,11124,10985,10901,10807,10807
S120_its,24739,13065,12872,12685,12239,12239
S121_its,19868,8590,8409,8167,7956,7956
S122_its,76188,29669,29340,28895,28293,28293
S123_its,33141,13051,12873,12586,12366,12366
S124_its,32122,9608,9409,9192,8754,8754
S125_its,98381,35693,35387,35017,34608,34608
S126_its,58440,25471,25278,24907,24448,24448
S127_its,36390,15076,14830,14500,13917,13917
S128_its,14290,6995,6865,6677,6600,6600
S129_its,61351,40457,40130,40055,39284,39284
S13_its,41581,28812,28593,28498,27554,27554
S130_its,23294,15996,15762,15760,15251,15251
S131_its,41881,28164,27837,27780,26505,26498
S132_its,35082,21839,21601,21520,20369,20021
S133_its,20309,12804,12511,12380,11892,11892
S134_its,26944,14904,14721,14569,14276,14276
S135_its,84431,48503,48245,48067,46214,46211
S136_its,6952,1556,1477,1386,1332,1332
S137_its,34617,22780,22533,22367,21731,21696
S138_its,58644,28780,28432,28241,27322,27322
S139_its,60473,40915,40558,40441,39137,39137
S14_its,27044,10662,10506,10379,10109,10109
S140_its,59104,40880,40479,40362,38409,38396
S141_its,37851,18048,17787,17687,17386,17386
S142_its,45320,26734,26444,26287,23875,23875
S143_its,21859,12406,12191,12087,11133,11133
S144_its,80433,49798,49457,49369,47758,47758
S145_its,52594,26728,26347,26312,24497,24497
S146_its,21867,14364,14087,13964,13476,13473
S147_its,49477,25717,25383,25175,23875,23875
S148_its,58847,35336,34993,34729,33841,33841
S149_its,75767,54721,54393,54125,53003,53001
S15_its,16286,7890,7779,7734,7574,7574
S150_its,17888,11354,11095,10875,10602,10602
S151_its,9061,4076,3911,3798,3631,3631
S152_its,18646,12327,12015,11888,11566,11566
S153_its,41941,24769,24431,24301,23809,23809
S154_its,58126,30278,30009,29833,26659,26659
S156_its,34637,24816,24550,24421,23756,23756
S157_its,56182,42430,41905,41781,40823,40734
S158_its,29679,17975,17690,17493,17145,17145
S159_its,43976,25670,25397,25109,24723,24723
S16_its,35299,23298,23139,22999,22589,22589
S160_its,32119,16993,16717,16559,15873,15818
S161_its,47649,25163,24907,24655,23918,23912
S162_its,28822,16497,16239,16095,15665,15665
S163_its,23526,11914,11697,11577,11334,11334
S164_its,14648,10166,9935,9800,9619,9619
S165_its,77597,49536,49228,49110,48551,47622
S166_its,60306,36230,35914,35693,35197,23874
S167_its,9691,5169,5002,4918,4735,4735
S168_its,33704,19525,19230,19131,18878,18878
S169_its,45361,29414,28965,28939,26951,26951
S17_its,40669,24517,24224,24038,22994,22994
S18_its,58981,34310,33991,33952,33221,33221
S2_its,35377,22337,22076,21993,21549,21549
S20_its,31236,12554,12277,12234,11733,11733
S21_its,86177,45756,45467,45207,38632,38632
S22_its,78306,49333,49164,49038,48173,47894
S23_its,28575,11326,11150,11107,10891,10891
S24_its,66646,33305,33043,32909,32095,32095
S25_its,36403,18162,17949,17829,15750,15750
S26_its,124433,87416,87241,87164,86876,86864
S27_its,98740,68984,68777,68684,68462,68457
S28_its,96802,68361,68170,68104,67835,67834
S29_its,66124,41461,41166,41073,40813,40802
S3_its,35390,21389,21204,21174,20462,20462
S31_its,46110,28751,28460,28364,28016,28016
S32_its,61580,41842,41504,41355,40562,40562
S33_its,94718,61597,61331,61241,59137,59093
