samplename_barcode,input,filtered,denoisedF,denoisedR,merged,nonchim
S1_rps10,36752,29365,29351,29346,29310,29310
S10_rps10,27709,22996,22926,22985,22910,22903
S100_rps10,52392,40666,40640,40617,38989,38989
S101_rps10,41784,33442,33374,33386,33324,33161
S102_rps10,90519,67515,67489,67466,67216,67157
S103_rps10,71282,51653,51436,51637,51372,51372
S104_rps10,57096,42155,42036,42105,41995,41995
S105_rps10,56665,43875,43857,43842,43716,43716
S106_rps10,60238,40283,40269,40251,40229,40229
S107_rps10,212390,169337,169115,169241,168593,168362
S108_rps10,62257,45164,45107,45111,45020,45007
S109_rps10,136562,102717,102656,102577,102008,101731
S11_rps10,9042,6252,6235,6237,6234,6234
S110_rps10,128813,98698,98112,98640,97668,97620
S111_rps10,165235,123178,123120,123091,122879,122868
S112_rps10,127648,91162,91100,91080,90828,90802
S113_rps10,59965,45226,45197,45186,45087,45087
S114_rps10,47757,38617,38601,38605,38120,38118
S115_rps10,50266,34281,34255,34246,34159,34144
S116_rps10,121960,89813,89748,89732,89068,88040
S117_rps10,123072,93253,93195,93199,92661,92402
S118_rps10,53544,40614,40542,40536,40400,40398
S119_rps10,75588,52797,52753,52702,52518,52496
S12_rps10,61019,49865,49597,49827,49352,49258
S120_rps10,20688,14042,13881,14019,13803,13803
S121_rps10,156201,114487,114446,114372,114059,113992
S122_rps10,75290,42586,42572,42535,42378,42378
S123_rps10,157419,103238,103187,103174,102802,102556
S124_rps10,187810,128948,128837,128840,127931,127296
S125_rps10,98315,69551,69497,69332,69174,69089
S126_rps10,203663,138004,137906,137870,136746,136396
S127_rps10,88811,59160,59119,59079,59039,59023
S128_rps10,61680,43207,43089,43176,42979,42979
S129_rps10,142080,112236,112205,112189,111814,111517
S13_rps10,23772,19322,19314,19317,19300,19300
S130_rps10,163566,138027,137951,137926,137522,137100
S131_rps10,112714,92981,92894,92784,92246,91890
S132_rps10,92564,76048,75948,75908,75303,75132
S133_rps10,136866,111208,111131,111129,110807,110559
S134_rps10,116389,91941,91897,91892,91783,91732
S135_rps10,38134,29532,29466,29508,29397,29397
S136_rps10,31143,20764,20670,20727,20232,20232
S137_rps10,113102,90496,90475,90431,90030,90013
S138_rps10,123882,98552,98492,98489,98213,98053
S139_rps10,198892,168228,168063,168147,167710,166641
S14_rps10,70172,59717,59701,59697,59414,58145
S140_rps10,67592,56857,56808,56811,56662,56651
S141_rps10,100483,78633,78589,78565,77971,77940
S142_rps10,55002,46399,46374,46367,46288,46288
S143_rps10,42661,36001,35988,35991,35912,35908
S144_rps10,69854,57329,57283,57300,57177,57177
S145_rps10,50128,40703,40688,40676,40633,40633
S146_rps10,184102,154434,154347,154368,154158,154035
S147_rps10,53800,43234,43205,43122,43045,43045
S148_rps10,95486,46616,46581,46571,46537,46524
S149_rps10,58377,44255,44240,44222,44217,44217
S15_rps10,40117,33950,33946,33933,33902,33859
S150_rps10,151176,110265,110214,110167,109576,109431
S151_rps10,89963,68215,68182,68179,67924,67885
S152_rps10,213053,165502,165319,165401,164879,164475
S153_rps10,147407,116747,116532,116683,115981,115811
S154_rps10,168316,141982,141937,141904,141510,141404
S156_rps10,153064,113190,112998,112967,112680,112441
S157_rps10,81963,63347,63319,63317,62499,62499
S158_rps10,87735,63280,63142,63161,62893,62893
S159_rps10,71531,61510,61386,61477,61274,61261
S16_rps10,37947,28006,27998,27997,27995,27995
S160_rps10,68015,50498,50332,50427,50044,50041
S161_rps10,58908,48664,48329,48615,47808,47808
S162_rps10,86166,66621,66163,66493,63898,63898
S163_rps10,74075,58705,58645,58653,58392,58392
S164_rps10,76117,59239,59225,59204,58911,58892
S165_rps10,34906,25864,25816,25826,25731,25731
S166_rps10,53292,43140,42999,43111,42955,42951
S167_rps10,56154,41758,41742,41726,41597,41597
S168_rps10,93255,65792,65722,65754,65535,65528
S169_rps10,263081,219370,218986,219279,218511,217347
S17_rps10,43927,32977,32956,32951,32926,32926
S18_rps10,60882,46136,46127,46114,46077,46077
S2_rps10,35888,25800,25785,25766,25720,25720
S20_rps10,30553,25349,25317,25313,25293,25289
S21_rps10,3867,2533,2525,2501,2501,2501
S22_rps10,39585,31202,31191,31188,31136,31136
S23_rps10,52738,42849,42799,42823,42711,42593
S24_rps10,21063,17681,17675,17678,17673,17673
S25_rps10,36059,28602,28596,28575,28565,28565
S26_rps10,387,262,254,251,251,251
S27_rps10,43190,35580,35572,35541,35522,35522
S28_rps10,20927,17644,17628,17627,17625,17625
S29_rps10,57353,48578,48554,48549,48541,48541
S3_rps10,57529,44905,44876,44872,44845,44825
S31_rps10,36854,28773,28764,28755,28741,28741
S32_rps10,7327,5833,5827,5826,5826,5826
S33_rps10,5178,3936,3912,3901,3901,3901
